Some Date not valid,String,Some number not valid,Some boolean not valid
2022-07-08,per,437,true
2022-01-24,site,819,false
2022-02-25,because,923,true
2023-02-24,for,957,false
2021-07-19,quality,864,true
2020-07-16,clear,883,true
2022-01-05,my,34,true
2021-09-26,various,604,false
2023-07-21,identify,671,false
2021-07-24,adult,661,true
2023-02-20,threat,182,false
2020-12-29,realize,6,false
2020-05-22,want,17,true
2021-04-16,capital,356,false
2021-12-29,agency,789,true
2020-11-04,also,795,true
2023-12-20,research,301,false
2021-01-14,evening,368,true
2022-01-24,trouble,24,true
2023-02-17,doctor,162,true
2023-11-26,door,812,true
2022-05-15,score,163,false
2023-06-13,decide,664,true
2022-04-26,partner,592,false
2023-08-21,training,202,false
2021-08-27,its,900,false
2021-10-22,provide,226,false
2020-08-14,tell,47,true
2022-07-13,use,891,false
2020-12-02,suddenly,754,false
2022-10-20,consider,948,false
2020-11-12,maybe,791,false
2020-12-24,society,886,false
2022-02-05,edge,363,false
2021-04-22,raise,330,false
2023-07-28,throw,781,false
2023-04-17,number,78,true
2023-05-21,arrive,937,true
2022-09-16,wonder,701,false
2023-01-30,at,379,true
2020-04-22,discussion,766,true
2022-12-18,occur,223,false
2020-10-21,beyond,369,false
2021-06-25,current,925,false
2022-07-28,serve,854,false
2021-10-28,young,686,false
2021-06-29,challenge,241,false
2022-04-08,prepare,185,true
2020-09-14,hour,765,false
2022-07-07,admit,263,true
2023-09-08,different,608,false
2021-04-01,send,159,false
2023-03-22,network,328,false
2023-10-07,government,377,false
2020-11-08,maintain,622,false
2022-05-20,wish,155,true
2022-06-08,price,249,true
2023-10-22,on,408,false
2023-07-09,statement,898,true
2023-09-12,job,650,true
2023-08-31,democratic,300,true
2021-12-31,something,922,true
2020-04-11,animal,117,true
2021-09-06,amount,170,false
2021-04-02,song,482,false
2021-08-31,represent,775,false
2020-03-17,east,896,false
2022-08-21,they,44,true
2020-07-17,that,788,false
2022-12-03,not,81,false
2023-05-11,it,108,false
2021-11-06,book,418,true
2020-07-26,program,666,true
2021-06-02,make,152,true
2020-04-12,yes,681,false
2020-01-12,any,29,false
2022-04-25,same,228,true
2021-06-02,far,867,false
2022-10-13,move,544,true
2023-11-05,cold,928,true
2021-07-06,as,225,false
2021-07-30,no,244,true
2023-09-24,throw,156,true
2022-12-01,hear,819,false
2021-12-13,black,913,false
2020-05-05,discussion,317,false
2023-11-09,south,307,false
2020-10-04,her,903,true
2022-01-09,back,40,false
2022-11-18,rate,453,true
2020-01-17,community,522,true
2021-01-06,marriage,421,false
2023-10-01,vote,702,false
2022-07-03,somebody,71,true
2021-07-15,physical,593,false
2023-02-05,method,165,true
2021-10-30,air,253,false
2020-12-20,bill,255,true
2021-07-12,great,919,true
2022-05-22,buy,353,true
2023-01-15,case,341,false
2023-05-04,may,620,true
2021-01-18,left,157,true
2023-10-03,leg,791,false
2023-08-04,both,532,false
2020-04-08,camera,460,true
2020-03-22,add,647,false
2020-04-29,fall,216,false
2021-11-20,enter,185,true
2023-01-22,challenge,226,false
2021-10-11,artist,15,true
2020-02-24,data,101,false
2020-09-12,leg,518,true
2021-11-06,fast,130,false
2021-07-10,perform,608,true
2020-08-28,become,571,true
2023-08-15,phone,985,true
2023-04-09,attention,161,false
2023-05-03,everybody,435,false
2021-11-22,executive,637,true
2021-10-11,compare,67,false
2022-08-17,house,168,false
2023-04-19,such,55,false
2023-04-29,point,624,false
2022-08-15,use,93,false
2020-06-26,ahead,502,true
2021-02-23,reflect,827,true
2020-09-27,street,369,false
2021-11-19,eat,527,true
2020-10-30,bag,668,false
2021-03-20,design,398,false
2020-08-05,grow,954,true
2020-12-07,interesting,629,false
2020-08-15,drug,641,false
2022-09-18,party,9,true
2023-01-31,church,475,true
2020-01-18,throughout,601,true
2021-02-05,right,82,true
2020-10-14,guy,681,false
2020-05-08,heart,946,true
2023-05-27,bar,87,false
2022-04-21,report,785,false
2020-02-01,treatment,111,false
2023-06-30,environment,835,false
2021-09-01,building,226,true
2022-04-26,meet,54,true
2021-06-20,statement,26,true
2021-10-06,surface,624,true
2022-11-26,discuss,986,true
2021-01-07,certain,826,true
2023-07-06,pretty,753,true
2020-02-26,realize,846,false
2020-12-11,say,959,true
2021-04-03,court,694,false
2020-10-05,key,266,false
2022-05-05,remember,742,true
2022-04-13,sit,921,false
2021-01-06,first,116,true
2021-06-26,step,259,false
2022-07-28,white,494,false
2023-04-02,necessary,817,true
2021-04-16,soon,958,false
2023-06-27,concern,974,true
2022-03-23,evening,38,false
2021-01-30,fear,902,false
2020-10-02,move,897,false
2020-11-21,mission,466,true
2022-05-31,start,868,true
2020-02-07,dog,102,false
2021-07-06,occur,635,true
2022-04-03,take,77,true
2022-09-25,these,76,true
2020-03-27,church,475,true
2023-06-25,fine,150,false
2021-04-23,guy,67,true
2023-03-22,thank,96,true
2021-01-29,wear,673,true
2021-08-26,together,44,false
2022-11-18,design,267,true
2022-06-18,fund,304,false
2023-01-17,family,8,true
2022-01-26,several,412,true
2020-09-12,environmental,511,false
2022-02-11,which,202,false
2022-12-05,success,9,false
2022-09-14,hospital,210,false
2023-03-21,sing,169,false
2020-06-18,pick,134,false
2021-11-11,best,626,true
2020-10-26,man,421,true
2022-08-12,current,978,true
2020-02-29,story,98,true
2021-03-05,participant,156,true
2023-09-14,official,268,true
2023-09-13,play,41,false
2020-02-20,yet,667,true
2020-03-08,president,945,false
2020-07-08,a,322,true
2020-08-30,total,802,false
2022-06-02,account,541,true
2023-03-11,true,347,false
2023-04-30,though,996,true
2022-11-06,politics,57,false
2023-08-25,help,373,true
2020-02-10,or,644,false
2023-02-18,north,553,false
2022-10-07,culture,14,false
2022-07-08,street,24,true
2020-01-22,close,811,true
2020-08-29,true,739,false
2022-06-12,serious,115,true
2023-07-14,consumer,304,false
2023-03-05,huge,792,false
2020-06-01,collection,770,false
2022-12-09,threat,220,true
2023-03-05,still,438,true
2023-06-22,dog,817,false
2023-04-30,garden,213,true
2022-06-03,a,883,false
2022-06-21,probably,240,false
2023-09-24,prepare,263,false
2020-11-09,key,971,false
2022-04-16,board,676,true
2021-06-21,citizen,310,true
2022-06-27,see,296,false
2021-06-24,eye,649,false
2023-08-24,kid,394,false
2021-08-01,hand,459,false
2022-07-10,hospital,713,true
2020-08-10,information,682,true
2022-10-27,perform,547,true
2020-02-07,company,830,true
2021-07-18,garden,459,false
2023-11-17,hundred,281,true
2022-05-07,for,297,true
2020-08-27,discussion,325,false
2021-05-04,bank,200,false
2020-02-22,far,357,false
2021-07-13,mean,11,false
2021-08-31,another,606,false
2020-06-06,owner,302,true
2020-04-14,technology,403,false
2021-08-27,current,907,false
2020-06-18,know,745,true
2021-02-26,effect,793,false
2021-07-25,born,968,true
2022-10-14,she,79,true
2023-09-18,draw,809,true
2023-12-05,similar,75,false
2023-05-18,question,586,false
2020-06-20,professional,892,true
2022-10-19,hundred,433,true
2022-03-10,expect,376,true
2022-04-02,tend,591,true
2020-01-02,thing,14,false
2022-08-08,world,712,true
2020-03-19,note,646,false
2020-03-20,anyone,583,false
2021-07-17,administration,974,true
2021-12-10,include,778,true
2022-04-22,paper,950,false
2023-02-08,continue,27,false
2021-03-26,our,280,false
2021-08-29,main,493,true
2022-10-10,admit,7,true
2020-06-21,over,194,true
2021-10-14,operation,913,false
2023-04-26,bar,279,true
2022-09-22,should,34,true
2020-11-25,task,433,true
2020-10-11,suddenly,999,false
2023-11-08,security,249,true
2020-06-03,rule,879,false
2021-06-06,gas,102,true
2020-05-27,research,33,false
2022-01-14,stuff,549,false
2021-06-27,fight,978,false
2022-06-08,reveal,511,false
2022-05-25,send,489,true
2020-12-04,environment,547,true
2023-08-19,doctor,198,true
2022-08-31,most,154,false
2022-03-01,they,423,true
2020-07-28,need,608,true
2022-02-06,soldier,66,false
2022-11-13,investment,462,false
2022-12-01,culture,815,true
2023-11-24,direction,183,true
2020-07-03,animal,23,false
2022-01-20,road,253,false
2020-12-30,evening,513,true
2022-04-16,produce,31,false
2021-08-05,same,863,false
2020-05-06,our,606,true
2021-09-27,return,647,true
2022-12-26,science,125,true
2022-08-11,our,216,true
2021-09-22,suddenly,711,true
2021-06-03,doctor,329,true
2023-06-01,project,874,false
2023-07-30,billion,554,true
2022-02-05,piece,850,true
2020-10-22,special,880,false
2021-09-04,director,563,false
2021-09-20,fire,255,true
2022-11-30,risk,212,false
2021-03-29,take,900,false
2022-05-27,store,436,false
2023-03-31,team,485,false
2023-09-25,writer,254,true
2022-06-20,administration,474,false
2020-02-02,arm,437,false
2021-09-03,blood,858,false
2023-07-15,Mr,995,false
2020-07-14,deep,158,false
2021-06-27,budget,378,true
2023-08-26,hold,557,true
2023-08-26,how,610,true
2020-02-05,rich,208,false
2020-02-01,already,778,false
2023-06-07,six,558,false
2022-06-24,education,562,true
2021-05-05,appear,115,false
2022-09-08,tough,933,false
2022-08-26,professional,556,true
2021-06-25,play,158,true
2022-01-19,research,127,false
2023-04-29,drop,459,true
2021-05-03,military,617,true
2022-07-25,population,248,false
2020-07-11,understand,756,true
2020-01-27,power,493,true
2021-02-04,need,472,true
2022-02-18,our,692,false
2020-05-27,study,19,true
2020-04-06,can,479,false
2020-05-03,myself,671,false
2021-03-29,magazine,738,true
2023-09-04,impact,363,true
2023-07-30,reduce,845,true
2020-09-17,success,596,true
2023-05-28,series,132,true
2021-02-12,a,178,true
2022-06-12,require,619,true
2020-05-18,lose,329,true
2023-01-28,arrive,772,false
2021-10-18,do,909,false
2020-01-15,range,500,false
2021-08-08,here,105,true
2020-10-13,discuss,606,false
2021-04-09,reach,545,false
2023-01-13,system,828,true
2022-01-02,but,31,false
2022-07-28,race,99,true
2023-05-07,close,577,false
2022-05-05,member,722,true
2021-07-09,kid,290,true
2023-04-07,talk,757,false
2021-01-28,reason,766,true
2023-09-04,soldier,108,false
2023-11-02,against,254,false
2022-02-26,although,174,false
2023-02-01,share,932,false
2022-09-12,that,511,true
2022-05-22,group,594,false
2022-12-15,care,500,true
2020-07-04,industry,932,false
2023-09-10,probably,740,false
2020-06-08,travel,280,true
2022-01-12,information,637,false
2021-09-21,prevent,755,true
2020-12-01,call,638,true
2023-01-25,part,487,true
2023-03-14,source,759,false
2022-09-28,politics,170,false
2020-07-17,several,90,false
2023-05-18,including,459,false
2023-03-10,professional,377,false
2021-11-09,everything,154,true
2023-01-04,first,5,true
2022-03-16,base,265,true
2022-11-25,father,42,false
2020-09-06,central,988,false
2022-09-10,red,78,false
2020-04-02,difficult,772,false
2023-12-02,them,368,false
2020-09-15,put,338,false
2022-11-06,either,359,false
2023-01-18,American,534,true
2022-12-27,customer,923,true
2023-05-08,concern,416,false
2022-05-15,claim,444,true
2020-10-04,than,204,true
2023-08-24,subject,958,true
2022-05-19,argue,73,true
2021-09-16,send,32,true
2023-03-15,already,876,false
2023-07-18,how,176,true
2023-05-09,claim,195,false
2022-07-06,risk,293,true
2020-01-07,protect,34,true
2022-12-06,line,483,false
2022-12-03,store,51,true
2021-12-20,deal,202,false
2020-11-16,partner,258,true
2022-06-15,onto,541,false
2020-01-02,media,113,true
2023-10-28,stuff,542,false
2020-12-06,hand,792,false
2021-07-10,yourself,340,false
2022-11-26,message,133,false
2022-08-02,beautiful,540,false
2021-05-03,good,753,true
2022-01-14,find,742,true
2020-04-27,free,406,false
2023-08-10,sea,196,true
2020-09-19,girl,171,true
2021-06-09,situation,334,true
2023-04-24,hope,853,false
2021-05-20,protect,807,false
2023-02-13,authority,61,true
2022-04-24,white,351,false
2022-01-15,during,572,true
2020-06-07,movie,559,false
2020-03-31,impact,785,false
2023-04-29,prevent,739,true
2020-06-22,head,661,false
2020-04-02,stock,96,true
2022-05-04,drop,323,true
2020-12-30,check,533,true
2021-08-03,exist,573,false
2020-05-03,water,264,false
2021-05-31,treat,824,false
2022-10-27,focus,90,true
2022-02-13,end,867,true
2022-01-28,life,665,true
2021-01-31,different,798,false
2022-04-06,institution,932,false
2023-03-18,how,558,true
2020-09-01,career,216,true
2021-07-16,eight,744,true
2022-01-02,fall,290,true
2022-05-31,new,575,true
2021-01-23,campaign,265,true
2021-02-03,area,545,false
2023-06-01,specific,839,false
2020-07-30,first,404,true
2022-12-14,lawyer,31,false
2023-04-27,federal,3,false
2021-11-22,catch,367,true
2022-10-28,question,897,true
2022-06-15,defense,784,true
2022-08-30,pass,426,false
2021-07-07,thing,736,true
2021-11-22,fund,988,true
2021-06-26,court,764,false
2022-06-26,out,552,false
2023-04-04,day,230,false
2020-07-25,stage,193,true
2022-06-09,thank,174,false
2023-04-17,sport,200,false
2023-03-02,always,511,true
2020-11-13,feeling,462,true
2023-03-02,low,829,true
2022-10-10,contain,316,true
2023-04-28,study,118,false
2021-02-25,power,704,false
2020-05-17,player,770,false
2022-06-05,those,561,true
2021-02-03,daughter,801,false
2022-12-22,edge,127,false
2023-05-12,within,348,true
2021-11-10,behavior,331,true
2022-05-03,explain,873,true
2022-12-03,knowledge,167,false
2023-07-21,beat,134,false
2021-03-10,study,591,false
2020-11-19,section,919,true
2022-03-29,majority,651,false
2023-01-19,easy,567,false
2022-08-04,floor,99,true
2022-09-15,where,519,false
2021-04-27,talk,59,false
2023-05-31,ground,493,false
2021-05-03,necessary,299,true
2023-12-05,question,56,true
2023-07-04,evidence,45,false
2020-11-12,including,374,true
2022-01-10,subject,614,true
2020-09-13,answer,81,false
2020-01-20,trouble,748,true
2021-10-29,street,652,true
2021-06-17,more,963,true
2021-09-30,knowledge,642,true
2021-08-19,man,261,true
2023-09-20,ground,705,true
2023-05-20,great,620,true
2023-03-02,a,760,false
2022-04-12,that,909,false
2020-05-18,become,744,true
2023-11-06,left,751,true
2023-03-10,blue,366,true
2023-03-16,nice,609,false
2021-10-31,product,770,false
2023-09-15,attention,935,false
2022-12-21,nor,214,true
2020-04-17,ability,319,false
2023-05-01,total,922,true
2020-06-08,country,885,false
2021-01-16,scientist,288,false
2023-09-05,nearly,812,true
2023-08-24,first,76,false
2020-06-20,quite,207,true
2020-04-15,consider,539,true
2020-09-02,response,210,true
2021-05-18,recognize,114,false
2023-01-10,morning,138,false
2021-12-23,size,108,false
2020-09-29,information,173,false
2020-10-04,a,848,true
2020-09-09,source,248,true
2021-11-12,official,223,false
2020-02-05,thus,66,false
2022-12-23,discuss,218,true
2021-08-25,rather,212,false
2023-02-27,why,942,true
2020-05-10,hair,978,true
2020-05-01,animal,674,true
2020-07-18,price,457,true
2020-09-22,check,60,true
2020-11-30,report,859,true
2021-05-23,number,452,true
2022-08-06,church,555,true
2020-10-25,these,63,true
2021-07-27,food,435,false
2023-03-27,reveal,67,false
2021-09-03,member,4,true
2022-08-29,tree,950,false
2020-10-14,lawyer,370,true
2020-06-04,door,773,false
2020-06-03,billion,217,true
2020-11-01,provide,254,false
2022-03-05,since,299,false
2022-06-02,low,247,false
2022-02-27,method,675,true
2020-07-15,onto,435,true
2023-05-28,hope,93,false
2023-05-29,join,755,true
2022-09-02,difficult,722,true
2023-12-07,idea,411,true
2021-08-26,out,658,false
2020-04-23,ok,908,false
2020-01-13,senior,386,false
2022-09-11,join,794,true
2022-06-08,bed,919,true
2023-11-14,stock,14,false
2020-10-15,save,166,false
2021-06-23,few,746,true
2020-06-27,official,335,true
2021-07-22,all,169,false
2022-05-31,sister,435,true
2020-07-26,soon,82,true
2022-08-04,want,26,false
2022-03-20,stop,831,true
2021-01-12,a,219,false
2020-12-02,firm,7,true
2022-02-18,third,322,true
2020-08-05,writer,681,true
2023-06-17,morning,933,true
2022-11-19,meet,60,true
2022-04-09,arrive,421,true
2020-10-19,source,158,true
2020-12-25,care,555,false
2022-11-14,measure,156,false
2021-09-06,keep,824,false
2021-11-14,include,246,false
2022-08-26,foot,235,false
2023-08-20,hear,627,true
2023-09-08,good,786,true
2021-12-06,they,301,false
2020-06-17,heart,297,false
2020-09-18,voice,373,false
2021-12-07,case,569,true
2020-02-25,west,388,false
2022-12-27,public,685,true
2020-07-21,tend,687,false
2021-05-01,several,691,true
2021-09-09,teach,283,false
2023-08-08,other,649,true
2022-03-03,determine,932,true
2022-03-15,same,134,true
2020-03-30,really,698,true
2023-12-28,condition,29,false
2022-08-22,high,585,true
2023-02-16,need,94,true
2022-09-02,case,292,true
2023-04-10,us,328,false
2023-01-26,a,98,false
2020-01-18,interesting,333,true
2021-02-19,yard,441,true
2021-11-19,address,715,true
2022-05-03,focus,368,true
2021-09-23,seek,855,true
2022-09-17,include,623,false
2022-12-23,maybe,590,false
2021-11-13,until,902,false
2021-11-20,whether,925,false
2022-05-29,agent,53,false
2023-12-01,a,963,true
2020-08-28,product,634,false
2023-04-06,run,617,false
2023-06-06,that,462,false
2022-02-03,election,50,true
2022-03-17,need,258,false
2022-10-26,responsibility,375,false
2022-03-17,culture,769,false
2023-06-18,notice,138,false
2021-11-29,child,383,false
2023-05-15,indeed,13,true
2021-02-26,son,65,false
2021-10-21,threat,986,true
2020-03-14,fast,4,false
2021-02-13,nor,791,true
2021-03-17,view,357,true
2023-12-05,movie,907,false
2021-08-10,PM,317,true
2020-10-17,chance,972,false
2022-03-15,create,4,true
2022-10-19,identify,576,false
2023-04-04,stop,403,true
2023-10-07,best,77,true
2021-09-28,push,605,true
2022-03-16,report,593,false
2023-07-22,yet,450,false
2020-11-28,save,694,false
2021-04-26,marriage,555,true
2023-09-15,degree,143,false
2023-01-07,about,267,true
2022-09-08,tough,238,true
2021-04-24,group,4,false
2021-03-31,hair,952,false
2023-09-14,white,949,false
2022-01-12,seem,124,true
2020-11-12,quality,422,false
2020-08-06,create,708,false
2023-07-14,edge,848,false
2021-08-16,often,920,true
2020-02-05,herself,695,true
2023-01-06,pressure,23,false
2020-01-27,believe,131,false
2022-06-11,rock,272,true
2021-02-09,word,185,true
2020-09-13,few,512,false
2020-11-14,think,987,true
2022-03-10,care,838,true
2022-11-23,commercial,936,false
2023-05-30,wonder,64,false
2021-08-04,poor,188,true
2020-07-07,month,151,true
2023-12-08,benefit,884,true
2021-08-28,baby,712,false
2021-02-03,us,705,true
2021-06-19,wind,819,false
2020-08-18,bank,480,true
2021-12-26,do,360,true
2020-02-18,process,725,true
2020-06-26,red,879,false
2021-11-21,never,84,true
2020-11-02,stop,907,true
2022-01-30,knowledge,715,true
2021-10-02,financial,992,false
2021-12-11,cut,143,false
2022-02-22,under,771,false
2022-10-11,various,725,true
2023-08-12,capital,470,false
2023-12-22,join,398,false
2023-05-09,current,568,true
2020-05-03,sometimes,495,false
2023-10-21,about,627,true
2021-05-17,effort,926,true
2023-11-17,idea,231,true
2021-04-01,pressure,330,false
2022-06-17,hotel,182,true
2021-07-22,exist,103,false
2022-10-25,here,753,false
2022-03-22,begin,922,true
2021-09-30,interesting,479,false
2021-11-27,force,272,true
2022-04-02,likely,934,false
2021-11-13,capital,775,false
2022-11-24,budget,481,false
2023-11-06,probably,513,false
2022-07-03,method,665,false
2022-04-28,range,608,true
2020-01-23,sea,742,false
2023-02-27,teach,493,true
2020-11-02,power,497,true
2021-01-09,vote,830,false
2023-09-03,matter,691,false
2022-02-17,medical,237,false
2021-04-19,report,864,true
2023-10-30,will,670,true
2021-08-14,middle,211,false
2022-09-09,bar,117,true
2020-10-25,must,872,false
2021-09-21,early,440,true
2022-07-09,scene,905,true
2020-01-15,method,326,true
2023-11-12,main,529,false
2023-08-13,executive,578,false
2023-04-01,reach,626,false
2022-04-27,available,395,false
2021-06-19,explain,575,false
2022-05-23,right,66,true
2020-11-16,treat,620,false
2020-08-24,air,258,true
2023-08-02,give,482,true
2022-12-01,keep,46,true
2023-01-02,process,138,false
2023-12-22,edge,410,true
2020-05-15,view,518,true
2020-12-24,best,898,false
2021-06-21,successful,91,false
2020-05-12,write,464,true
2020-12-15,he,633,true
2021-05-04,institution,609,true
2020-09-18,professional,977,false
2023-01-04,way,710,false
2023-04-20,staff,664,false
2020-02-24,realize,477,true
2021-07-19,many,539,true
2021-10-06,eat,79,true
2021-05-06,leader,255,false
2023-03-11,hospital,809,true
2023-07-04,find,297,false
2022-12-14,society,387,true
2020-01-02,money,709,false
2020-09-27,week,97,false
2020-08-08,great,823,true
2021-09-28,question,32,true
2023-07-19,staff,719,true
2022-04-18,pull,494,false
2021-03-15,outside,22,false
2022-11-26,yourself,275,false
2020-07-19,citizen,688,true
2023-12-13,late,710,false
2022-03-26,fill,802,false
2020-10-26,together,253,false
2022-05-17,near,539,false
2023-09-29,very,178,true
2021-09-11,name,664,true
2020-05-29,ago,522,true
2021-12-06,particularly,723,true
2022-07-27,raise,437,false
2020-12-31,level,718,true
2022-05-11,those,186,true
2021-10-28,Mr,10,true
2022-07-12,run,628,false
2022-04-19,change,875,false
2023-07-20,which,867,true
2021-04-13,common,160,false
2020-11-20,interview,591,true
2023-06-16,picture,20,true
2023-05-05,I,52,false
2021-01-25,well,352,false
2023-06-23,have,386,false
2023-10-10,game,257,true
2021-02-20,better,311,true
2020-04-30,discover,220,false
2020-02-20,show,963,true
2020-09-05,position,226,false
2021-11-28,charge,195,false
2022-07-18,wide,977,false
2022-04-28,including,349,false
2023-08-01,exactly,723,true
2022-05-18,hit,795,true
2022-12-19,best,725,true
2021-06-06,race,62,false
2023-04-18,back,815,false
2023-07-18,husband,421,false
2020-01-22,really,412,true
2023-03-14,him,788,true
2020-03-23,newspaper,536,true
2023-02-12,base,295,false
2020-01-26,forget,820,false
2022-11-03,inside,850,false
2021-09-29,trip,381,false
2020-09-16,camera,168,true
2020-03-15,detail,69,true
2021-08-08,discuss,242,true
2020-05-31,campaign,363,true
2022-09-28,the,261,true
2023-09-28,together,878,true
2022-05-26,wonder,484,false
2022-09-05,deal,850,true
2023-05-07,until,435,true
2022-06-04,itself,631,false
2020-08-12,thing,765,false
2020-01-21,exactly,447,false
2020-02-05,fast,406,false
2023-07-29,use,4,false
2020-10-17,wait,484,false
2021-10-08,wrong,772,true
2022-10-29,someone,937,true
2023-09-08,stay,817,false
2020-04-02,especially,840,false
2020-04-05,accept,491,true
2020-01-16,front,640,true
2020-08-29,my,421,true
2021-03-22,suggest,912,false
2021-05-29,wear,283,true
2023-04-12,decade,661,false
2022-08-28,four,609,false
2021-04-29,kid,585,false
2020-07-25,high,956,true
2022-08-03,last,347,true
2022-07-20,church,830,true
2022-08-29,present,499,true
2021-03-12,property,758,true
2021-11-19,more,366,false
2022-06-07,street,20,false
2021-01-31,act,85,true
2023-11-23,allow,985,false
2023-12-08,protect,817,true
2020-03-02,network,663,true
2022-08-06,manager,474,false
2020-02-25,accept,804,true
2020-06-16,whether,573,false
